"","word","freq"
"food","food",950
"und","und",380
"festival","festival",353
"street","street",353
"will","will",255
"die","die",234
"truck","truck",233
"der","der",215
"trucks","trucks",170
"event","event",158
"auf","auf",147
"free","free",110
"von","von",109
"den","den",107
"das","das",98
"mit","mit",98
"uhr","uhr",94
"beer","beer",91
"live","live",88
"wir","wir",85
"craft","craft",84
"music","music",83
"tickets","tickets",81
"aus","aus",80
"eine","eine",75
"ist","ist",75
"welt","welt",75
"auch","auch",74
"wine","wine",74
"alle","alle",71
"available","available",70
"please","please",69
"ein","ein",67
"events","events",66
"admission","admission",65
"per","per",64
"werden","werden",61
"local","local",60
"uns","uns",60
"euch","euch",59
"april","april",58
"tour","tour",58
"new","new",57
"entertainment","entertainment",56
"con","con",55
"best","best",54
"vendors","vendors",54
"dem","dem",52
"dabei","dabei",51
"get","get",51
"saturday","saturday",51
"enjoy","enjoy",50
"information","information",48
"oder","oder",48
"one","one",47
"city","city",46
"details","details",45
"may","may",44
"vegan","vegan",44
"frisch","frisch",42
"market","market",42
"wieder","wieder",42
"day","day",41
"durch","durch",41
"email","email",41
"fun","fun",41
"hier","hier",41
"park","park",41
"einen","einen",40
"kids","kids",40
"eintritt","eintritt",39
"ticket","ticket",39
"wird","wird",39
"auswahl","auswahl",38
"deutschland","deutschland",38
"info","info",38
"first","first",37
"bis","bis",36
"del","del",35
"ihr","ihr",35
"marzo","marzo",35
"aller","aller",34
"drink","drink",34
"ganz","ganz",34
"like","like",34
"sunday","sunday",34
"mehr","mehr",33
"stand","stand",33
"visit","visit",33
"year","year",33
"join","join",32
"kulinarische","kulinarische",32
"children","children",31
"dalle","dalle",30
"gerichte","gerichte",30
"march","march",30
"parking","parking",30
"annual","annual",29
"bring","bring",29
"come","come",29
"family","family",29
"foodies","foodies",29
"unter","unter",29
"bar","bar",28
"bei","bei",28
"can","can",28
"chef","chef",28
"deine","deine",28
"delicious","delicious",28
"des","des",28
"kitchen","kitchen",28
"pizza","pizza",28
"als","als",27
"beim","beim",27
"evento","evento",27
"experience","experience",27
"mai","mai",27
"nyc","nyc",27
"open","open",27
"europas","europas",26
"exotische","exotische",26
"freuen","freuen",26
"gibt","gibt",26
"including","including",26
"noch","noch",26
"two","two",26
"weekend","weekend",26
"activities","activities",25
"now","now",25
"stadt","stadt",25
"vip","vip",25
"vor","vor",25
"area","area",24
"brewing","brewing",24
"cooking","cooking",24
"della","della",24
"direkt","direkt",24
"featuring","featuring",24
"friday","friday",24
"infos","infos",24
"list","list",24
"nach","nach",24
"sich","sich",24
"taste","taste",24
"culinary","culinary",23
"domenica","domenica",23
"festivals","festivals",23
"lake","lake",23
"night","night",23
"parma","parma",23
"sabato","sabato",23
"show","show",23
"speisen","speisen",23
"zubereitet","zubereitet",23
"also","also",22
"bereits","bereits",22
"dla","dla",22
"foodtrucks","foodtrucks",22
"include","include",22
"italian","italian",22
"see","see",22
"streetfood","streetfood",22
"bbq","bbq",21
"burger","burger",21
"dann","dann",21
"einer","einer",21
"entry","entry",21
"purchase","purchase",21
"restaurant","restaurant",21
"sonntag","sonntag",21
"sorgen","sorgen",21
"time","time",21
"tutto","tutto",21
"unsere","unsere",21
"chefs","chefs",20
"festa","festa",20
"general","general",20
"great","great",20
"original","original",20
"sowie","sowie",20
"take","take",20
"zum","zum",20
"along","along",19
"coming","coming",19
"date","date",19
"full","full",19
"geht","geht",19
"house","house",19
"jak","jak",19
"many","many",19
"must","must",19
"oraz","oraz",19
"ore","ore",19
"place","place",19
"stalls","stalls",19
"stay","stay",19
"vendor","vendor",19
"veranstaltung","veranstaltung",19
"world","world",19
"cheese","cheese",18
"deinen","deinen",18
"july","july",18
"juni","juni",18
"kleinen","kleinen",18
"location","location",18
"ort","ort",18
"plus","plus",18
"restaurants","restaurants",18
"strefa","strefa",18
"areas","areas",17
"art","art",17
"bringing","bringing",17
"daily","daily",17
"delikatessen","delikatessen",17
"downtown","downtown",17
"egal","egal",17
"foods","foods",17
"frei","frei",17
"ice","ice",17
"june","june",17
"nicht","nicht",17
"online","online",17
"pmpm","pmpm",17
"popular","popular",17
"samstag","samstag",17
"sind","sind",17
"termin","termin",17
"together","together",17
"vintage","vintage",17
"website","website",17
"around","around",16
"arts","arts",16
"back","back",16
"bungee","bungee",16
"check","check",16
"confirmed","confirmed",16
"drinks","drinks",16
"friends","friends",16
"geben","geben",16
"gmbh","gmbh",16
"hand","hand",16
"kommen","kommen",16
"kostenfrei","kostenfrei",16
"main","main",16
"much","much",16
"participating","participating",16
"party","party",16
"soon","soon",16
"state","state",16
"sweet","sweet",16
"weingut","weingut",16
"wie","wie",16
"access","access",15
"ages","ages",15
"ausgefallenen","ausgefallenen",15
"breweries","breweries",15
"cash","cash",15
"com","com",15
"concerts","concerts",15
"cuisine","cuisine",15
"days","days",15
"following","following",15
"includes","includes",15
"ingresso","ingresso",15
"internationale","internationale",15
"limited","limited",15
"musica","musica",15
"nie","nie",15
"set","set",15
"sold","sold",15
"strada","strada",15
"una","una",15
"verschiedenen","verschiedenen",15
"walhalla","walhalla",15
"welcome","welcome",15
"willst","willst",15
"beers","beers",14
"begeisterte","begeisterte",14
"besten","besten",14
"besuch","besuch",14
"beverage","beverage",14
"chairs","chairs",14
"cibo","cibo",14
"complete","complete",14
"demonstrations","demonstrations",14
"dogs","dogs",14
"erlebe","erlebe",14
"exotischen","exotischen",14
"fest","fest",14
"gewinne","gewinne",14
"gibts","gibts",14
"hunderttausende","hunderttausende",14
"kinderland","kinderland",14
"kinderschminken","kinderschminken",14
"kleine","kleine",14
"kommt","kommt",14
"lobster","lobster",14
"long","long",14
"make","make",14
"michelin","michelin",14
"ohne","ohne",14
"orari","orari",14
"probiert","probiert",14
"quer","quer",14
"rock","rock",14
"schreibe","schreibe",14
"stage","stage",14
"tuned","tuned",14
"unterwegs","unterwegs",14
"verlosung","verlosung",14
"vielen","vielen",14
"vielzahl","vielzahl",14
"vom","vom",14
"well","well",14
"weltreise","weltreise",14
"begleitpersonen","begleitpersonen",13
"beste","beste",13
"brauerein","brauerein",13
"car","car",13
"coeur","coeur",13
"contact","contact",13
"corner","corner",13
"dass","dass",13
"delle","delle",13
"dinner","dinner",13
"djmusik","djmusik",13
"duft","duft",13
"durfte","durfte",13
"einzigartig","einzigartig",13
"eisvariationen","eisvariationen",13
"entspannten","entspannten",13
"exklusiven","exklusiven",13
"festiwalu","festiwalu",13
"flaniere","flaniere",13
"frischgebackenem","frischgebackenem",13
"games","games",13
"genuss","genuss",13
"george","george",13
"gestalteten","gestalteten",13
"guests","guests",13
"herrlichen","herrlichen",13
"hunderte","hunderte",13
"infofestivalstreetfoodde","infofestivalstreetfoodde",13
"jahren","jahren",13
"kombination","kombination",13
"kontinente","kontinente",13
"kulturbeitrag","kulturbeitrag",13
"liebevoll","liebevoll",13
"markiere","markiere",13
"multikulturellen","multikulturellen",13
"mund","mund",13
"offer","offer",13
"poste","poste",13
"rides","rides",13
"sorten","sorten",13
"sponsor","sponsor",13
"subject","subject",13
"summer","summer",13
"tasting","tasting",13
"trampolin","trampolin",13
"tutti","tutti",13
"variationen","variationen",13
"verzehrgutscheinen","verzehrgutscheinen",13
"war","war",13
"wines","wines",13
"years","years",13
"zubereiteten","zubereiteten",13
"advance","advance",12
"alla","alla",12
"amazing","amazing",12
"aperti","aperti",12
"aprile","aprile",12
"artists","artists",12
"beach","beach",12
"celebrate","celebrate",12
"club","club",12
"early","early",12
"exciting","exciting",12
"fashion","fashion",12
"feature","feature",12
"field","field",12
"giorni","giorni",12
"grand","grand",12
"home","home",12
"immer","immer",12
"indie","indie",12
"items","items",12
"line","line",12
"marca","marca",12
"piazzetta","piazzetta",12
"social","social",12
"sure","sure",12
"sushi","sushi",12
"tak","tak",12
"tasty","tasty",12
"team","team",12
"unterstreichen","unterstreichen",12
"announced","announced",11
"attend","attend",11
"awesome","awesome",11
"band","band",11
"bands","bands",11
"beverages","beverages",11
"bounce","bounce",11
"dal","dal",11
"dei","dei",11
"diesem","diesem",11
"dozens","dozens",11
"dzieci","dzieci",11
"eat","eat",11
"edizione","edizione",11
"einem","einem",11
"essen","essen",11
"evansville","evansville",11
"eventi","eventi",11
"every","every",11
"feinstes","feinstes",11
"foodtruck","foodtruck",11
"four","four",11
"fresh","fresh",11
"freunde","freunde",11
"fridays","fridays",11
"gratuito","gratuito",11
"grill","grill",11
"guide","guide",11
"held","held",11
"hot","hot",11
"hotel","hotel",11
"irlanda","irlanda",11
"largest","largest",11
"los","los",11
"love","love",11
"made","made",11
"migliori","migliori",11
"miss","miss",11
"partnerzy","partnerzy",11
"pop","pop",11
"que","que",11
"rain","rain",11
"regional","regional",11
"roku","roku",11
"sale","sale",11
"schlemmen","schlemmen",11
"spot","spot",11
"spring","spring",11
"start","start",11
"taco","taco",11
"tampa","tampa",11
"throughout","throughout",11
"top","top",11
"variety","variety",11
"viele","viele",11
"want","want",11
"wiele","wiele",11
"winery","winery",11
"wwwfacebookcomstreetfoodofficial","wwwfacebookcomstreetfoodofficial",11
"york","york",11
"application","application",10
"bay","bay",10
"big","big",10
"che","che",10
"chicken","chicken",10
"cocktail","cocktail",10
"dieses","dieses",10
"dishes","dishes",10
