"","category","longitude","latitude"
"1","travel",73.19736,22.2732
"2","travel",-118.807,34.0009
"3","travel",-81.6992874,30.2292633
"4","travel",77.25369215,28.54552989
"5","travel",121.025040963,14.550648388
"6","travel",23.820142144,38.040038544
"7","travel",-87.882642746,43.055373968
"8","travel",103.9597092,1.33371
"9","travel",72.520086765,23.060148054
"10","travel",-95.80726,29.56053
"11","travel",32.803175919,39.911079139
"12","travel",-84.56613,40.22402
"13","travel",-77.48078995,37.536356332
"14","travel",90.39957,23.71321
"15","travel",31.325454712,30.083577456
"16","travel",90.39426899,23.750014186
"17","travel",103.988428116,22.457836024
"18","travel",2.17818,41.4091
"19","travel",-114.07293347,46.922417759
"20","travel",-1.960759163,52.582804216
"21","travel",146.179427586,-38.072815084
"22","travel",-97.346408625,37.688835617
"23","travel",-93.4060812,44.9738729
"24","travel",-91.015517205,30.352182922
"25","travel",23.7552109,37.9812012
"26","travel",14.459415739,48.984771517
"27","travel",9.18341,45.47502
"28","travel",28.282263279,-15.402506905
"29","travel",-96.829399333,32.803164777
"30","travel",-105.205474553,39.665667056
"31","travel",103.756647616,1.471700092
"32","travel",28.313480004,-15.389350181
"33","travel",-73.963737488,40.671915381
"34","travel",37.616666944,55.75
"35","travel",-113.410952075,53.513796523
"36","travel",-87.63744,41.91859
"37","travel",1.51538372,43.58351514
"38","travel",-81.20419,41.58377
"39","travel",-122.36,47.8079
"40","travel",122.546128,10.732308
"41","travel",-96.829399333,32.803164777
"42","travel",11.61085,48.12653
"43","travel",120.97666,14.65107
"44","travel",-82.610916296,36.308148232
"45","travel",8.98537,44.39253
"46","travel",-75.8813741,41.244783546
"47","travel",-77.431032423,37.541541664
"48","travel",100.28039217,5.329101733
"49","travel",-6.354533333,52.95762
"50","travel",121.013,13.8019
"51","travel",85.3333,27.7
"52","travel",-61.666667,12.116667
"53","travel",31.68514429,31.44466184
"54","travel",146.727197633,-36.543953092
"55","travel",-2.592775196,51.456869106
"56","travel",-0.2305,51.619
"57","travel",-82.823307803,35.889514564
"58","travel",74.1667,18.2833
"59","travel",-96.829399333,32.803164777
"60","travel",67.076021915,24.901269542
"61","travel",150.76826,-34.09241
"62","travel",32.6200485,0.31847
"63","travel",-87.6844,41.8369
"64","travel",100.405686649,13.860442915
"65","travel",-87.1513,40.938
"66","travel",-90.0715323,29.9510658
"67","travel",80.2751,13.0812
"68","travel",-90.196273847,38.615310576
"69","travel",-123.10085,49.2572
"70","travel",101.6854534,3.0921029
"71","travel",-90.059,29.9728
"72","travel",44.361797234,33.31424082
"73","travel",-4.13407,51.67908
"74","travel",111.65908,-8.08596
"75","travel",-87.656186291,41.874799291
"76","travel",101.507484602,3.069798536
"77","travel",106.883518696,47.894636178
"78","travel",-4.230507489,57.473070501
"79","travel",-4.230507489,57.473070501
"80","travel",-122.418749,37.757311
"81","travel",15.052213669,50.766037288
"82","travel",121.028530568,14.564875632
"83","travel",7.288152853,51.437394435
"84","travel",-86.48635,43.67792
"85","travel",-122.29429,47.11608
"86","travel",23.345947266,42.652441757
"87","travel",55.308887959,25.268464002
"88","travel",-73.754645725,42.648526422
"89","travel",71.827762451,32.60130219
"90","travel",-82.583692074,35.578207982
"91","travel",121.028530568,14.564875632
"92","travel",20.8343227,52.1080052
"93","travel",121.01942996,14.554162678
"94","travel",16.609390904,49.212585566
